No.,Category,Question
1,Entry Requirements & Eligibility,My son's SPM results average only can enter which courses exactly?
2,Entry Requirements & Eligibility,Which courses are 100% impossible for him with his results? Don't sugarcoat.
3,Entry Requirements & Eligibility,For courses that need bridging/foundation: Which subject need bridging?
4,Entry Requirements & Eligibility,For courses that need bridging/foundation: How long is the bridging?
5,Entry Requirements & Eligibility,For courses that need bridging/foundation: Is it guaranteed entry after passing or still can be rejected?
6,Entry Requirements & Eligibility,If he fails the bridging course what happens? Waste money and time only?
7,Entry Requirements & Eligibility,Are entry requirements different for local students vs international students?
8,Entry Requirements & Eligibility,Can you show me real past cases of students with similar results who successfully graduated?
9,Course Quality,This course that my son can enter is it popular or leftover course nobody wants?
10,Course Quality,How many students actually graduate on time? How many drop out halfway?
11,Course Quality,What is the failure rate for core subjects?
12,Course Quality,Are lecturers full-time or part-time? Some part-time only come read slides right?
13,Course Quality,Do lecturers actually reply messages or emails or students chase them like beggar?
14,Course Quality,Are exams super difficult to purposely fail students so they repeat and pay more fees?
15,Career & Employability,After graduate what kind of job can get? Give me specific job titles.
16,Career & Employability,What is the average starting salary for this course? Don't give fake marketing number.
17,Career & Employability,How many graduates cannot find job after 6 months?
18,Career & Employability,Which companies usually hire your students? Any real big-name company or all small SME?
19,Career & Employability,Do you have industrial training / internship guaranteed or students find themselves?
20,Career & Employability,If graduate with CGPA 2.5 only still can survive in job market or die already?
21,Fees Hidden Costs & Money Traps,Total cost from foundation/bridging until degree finish how much exactly?
22,Fees Hidden Costs & Money Traps,Are there hidden fees? (Lab fees exam fees repeat subject fees admin fees graduation fees?)
23,Fees Hidden Costs & Money Traps,If fail one subject how much to repeat?
24,Fees Hidden Costs & Money Traps,If he extend one semester extra how much money burn?
25,Fees Hidden Costs & Money Traps,Are there any scholarships or discounts for average students or only top scorers?
26,Fees Hidden Costs & Money Traps,Can parents pay by installment or must lump sum every semester?
27,Study Pressure & Student Support,Is the study environment very stressful?
28,Study Pressure & Student Support,For weak students do you have extra classes tutoring or academic support?
29,Study Pressure & Student Support,If student depressed or cannot cope any counselling or just tell them "your problem"?
30,Study Pressure & Student Support,How many students repeat subjects every semester? Normal or red flag?
31,Study Pressure & Student Support,If my son suddenly lose motivation do lecturers or advisors actually care?
32,Discipline Attitude & Safety,Are students very undisciplined? Skip class play game sleep all day?
33,Discipline Attitude & Safety,Do lecturers take attendance seriously or nobody cares?
34,Discipline Attitude & Safety,Any problem with fighting bullying drugs gangster influence?
35,Discipline Attitude & Safety,How is campus security at night?
36,Discipline Attitude & Safety,Hostel environment got noisy people smoking drinking gaming whole night or not?
37,Course Switching & Backup Plan,If my son enters one course and hate it can change course?
38,Course Switching & Backup Plan,If change course: Need restart from Year 1?
39,Course Switching & Backup Plan,If change course: Fees wasted or transferable?
40,Course Switching & Backup Plan,If he really cannot cope and want to transfer to another university: Can credit transfer?
41,Course Switching & Backup Plan,If he really cannot cope and want to transfer to another university: Or must start from zero again?
42,Brutally Honest Questions,For average students is this university really suitable or just business to collect fees?
43,Brutally Honest Questions,Which courses have highest dropout rate?
44,Brutally Honest Questions,Which courses are known to be "easier to pass" but still useful in job market?
45,Brutally Honest Questions,Would you honestly recommend this course to your own child with similar results?
46,Brutally Honest Questions,If you were me what would you advise my son to study instead?
47,Brutally Honest Questions,Is there any course here that you secretly think is not worth the money?
48,Long-Term Future,After degree is it easy to continue Master's locally or overseas?
49,Long-Term Future,Is this qualification recognized by government / employers / overseas universities?
50,Long-Term Future,Do graduates from this university face discrimination compared to public universities?
51,Long-Term Future,5 years after graduate are your alumni doing well or still struggling?
